Time,Track,Instrument,Beat,Octave,Note,Duration,"Force (%)"
8101,5,,118,5,Re,Half,78
8157,5,,118,5,La,Half,80
8221,5,,118,5,Re,Half,77
8256,3,,111,6,Sol,Whole,84
8280,5,,118,6,Mi,Half,78
8341,5,,118,5,Re,Half,80
8401,5,,118,6,Re,Half,79
8461,5,,118,5,Re,Half,79
8521,5,,118,5,La,Whole,80
8638,2,,118,4,Sol,Whole,81
8639,4,,118,5,Re,Sixteenth,77
8640,3,,111,6,Sol,Whole,84
8640,3,,118,4,Re,Whole,80
8641,4,,118,5,La,Sixteenth,81
8642,5,,118,5,Re,Whole,78
8643,4,,118,6,Re,Whole,81
8760,2,,118,4,Sol,Half,80
8819,2,,118,4,Sol,Half,77
8832,3,,111,6,Re,Whole,84
8881,2,,118,4,Sol,Whole,79
9001,2,,118,4,Sol,Whole,77
9024,2,,111,3,La,Whole,100
9024,3,,111,4,La,Whole,83
9120,2,,118,4,Sol,Half,81
9179,2,,118,4,Sol,Half,38
9216,2,,111,4,"Do #",Whole,100
9216,3,,111,5,"Do #",Whole,83
9222,9,,111,5,Mi,Whole,46
9238,2,,118,4,Sol,Whole,80
9359,2,,118,4,Sol,Whole,81
9408,3,,111,5,Sol,Whole,84
9480,2,,118,4,Sol,Half,80
9542,2,,118,4,Sol,Half,81
9598,3,,118,4,Re,Whole,80
9600,2,,118,4,"Do #",Sixteenth,79
9600,3,,111,6,Re,Whole,84
9602,2,,118,4,Sol,Half,79
9661,2,,118,4,Sol,Half,44
9719,2,,118,4,Sol,Half,80
9720,6,,118,6,"Fa #",Whole,62
9778,2,,118,4,Sol,Half,46
9792,2,,111,3,Si,Whole,100
9792,3,,111,4,Si,Whole,86
9824,9,,111,5,Re,Whole,46
9841,2,,118,4,Sol,Half,81
9843,6,,118,6,"Fa #",Whole,62
9900,2,,118,4,Sol,Half,43
9958,2,,118,4,Sol,Half,77
9984,3,,111,5,Sol,Whole,87
10020,2,,118,4,Sol,Sixteenth,45
10021,2,,118,4,"Do #",Half,77
10078,2,,118,4,"Do #",Sixteenth,80
10079,3,,118,3,"La #",Whole,81
10082,2,,118,4,Sol,Half,79
10138,2,,118,4,Sol,Half,46
10176,3,,111,6,Re,Whole,88
10197,6,,118,6,"Fa #",Whole,64
10202,2,,118,4,Sol,Half,80
10261,2,,118,4,Sol,Half,43
10319,2,,118,4,Sol,Half,79
10321,6,,118,6,"Fa #",Whole,61
10368,2,,111,3,Sol,Whole,100
10368,3,,111,4,Sol,Whole,90
10368,9,,111,4,La,Whole,46
10380,2,,118,4,Sol,Half,44
10438,2,,118,4,Sol,Half,80
10501,2,,118,4,Sol,Sixteenth,46
10502,2,,118,4,"Do #",Half,77
10558,2,,118,4,"Do #",Sixteenth,77
10558,3,,118,4,"Fa #",Whole,78
10560,3,,111,6,Re,Whole,88
10562,2,,118,4,Sol,Half,79
10622,2,,118,4,Sol,Half,43
10680,2,,118,4,Sol,Half,78
10683,6,,118,6,La,Whole,61
10738,2,,118,4,Sol,Half,46
10752,2,,111,4,Re,Whole,100
10752,3,,111,5,Re,Whole,84
10752,9,,111,5,Sol,Whole,46
10798,2,,118,4,Sol,Half,81
10800,6,,118,6,La,Whole,61
10862,2,,118,4,Sol,Half,43
10920,2,,118,4,Sol,Half,78
10944,3,,111,6,Re,Whole,84
10978,2,,118,4,Sol,Half,45
11040,2,,118,4,"Do #",Sixteenth,79
11040,3,,118,4,"Do #",Whole,80
11041,2,,118,4,Sol,Half,81
11100,2,,118,4,Sol,Half,44
11136,3,,111,5,La,Whole,84
11159,2,,118,4,Sol,Half,79
11160,6,,118,6,Sol,Whole,65
11220,2,,118,4,Sol,Half,44
11281,2,,118,4,Sol,Half,79
11282,6,,118,6,Sol,Whole,64
11328,3,,111,6,Sol,Whole,84
11341,2,,118,4,Sol,Half,45
11401,2,,118,4,Sol,Half,81
11458,2,,118,4,Sol,Sixteenth,44
11460,2,,118,4,"Do #",Half,79
11518,3,,118,3,Sol,Whole,81
11519,2,,118,4,"Do #",Sixteenth,81
11522,2,,118,4,Sol,Half,80
11577,5,,118,5,Sol,Half,81
11578,2,,118,4,Sol,Half,44
11639,5,,118,6,Re,Half,80
11639,6,,118,6,"La #",Whole,65
11640,2,,118,4,Sol,Half,80
11700,5,,118,5,La,Half,80
11701,2,,118,4,Sol,Half,46
11712,3,,111,6,Sol,Whole,84
11759,5,,118,6,Re,Half,79
11759,6,,118,6,"La #",Whole,65
11760,2,,118,4,Sol,Half,77
11818,2,,118,4,Sol,Half,43
11821,5,,118,6,"Do #",Half,78
11882,2,,118,4,Sol,Half,78
11883,5,,118,5,Sol,Half,79
11904,3,,111,6,Re,Whole,84
11940,2,,118,4,Sol,Sixteenth,43
11941,5,,118,6,Re,Half,78
11942,2,,118,4,"Do #",Half,78
11999,2,,118,4,"Do #",Sixteenth,79
11999,5,,118,5,"Re #",Half,79
12000,2,,118,4,Sol,Half,80
12002,3,,118,4,"Re #",Whole,80
12058,5,,118,5,"La #",Half,77
12059,2,,118,4,Sol,Half,43
12096,2,,111,3,La,Whole,100
12096,3,,111,4,La,Whole,83
12120,6,,118,6,"La #",Whole,63
12122,2,,118,4,Sol,Half,77
12122,5,,118,6,"Fa #",Half,78
12179,2,,118,4,Sol,Half,45
12183,5,,118,5,"Re #",Half,79
12239,6,,118,6,"La #",Whole,62
12240,2,,118,4,Sol,Half,77
12242,5,,118,6,"Fa #",Half,81
12288,2,,111,4,"Do #",Whole,100
12288,3,,111,5,"Do #",Whole,83
12288,4,,111,6,Re,Whole,57
12288,4,,111,5,Mi,Sixteenth,57
12294,10,,111,4,Re,Whole,94
12296,4,,111,5,La,Quarter,57
12299,2,,118,4,"Do #",Sixteenth,78
12299,5,,118,6,"Re #",Half,77
12302,2,,118,4,Sol,Half,46
12320,4,,111,6,Mi,Whole,69
12359,2,,118,4,Sol,Half,79
12363,5,,118,5,"La #",Half,81
12420,2,,118,4,Sol,Sixteenth,46
12421,2,,118,4,"Do #",Half,78
12421,5,,118,5,"Re #",Half,77
12476,10,,111,4,La,Whole,83
12478,2,,118,4,"Do #",Sixteenth,77
12479,3,,118,3,"La #",Whole,81
12480,3,,111,5,Sol,Whole,84
12481,2,,118,4,Sol,Half,80
12483,5,,118,4,"La #",Half,80
12539,5,,118,5,"Fa #",Half,81
12542,2,,118,4,Sol,Half,43
12598,6,,118,7,Re,Whole,64
12599,2,,118,4,Sol,Half,77
12599,5,,118,6,"Do #",Half,79
12658,5,,118,4,"La #",Half,80
12660,2,,118,4,Sol,Half,45
12668,10,,111,4,"Fa #",Whole,70
12672,3,,111,6,Re,Whole,84
12717,5,,118,6,"Do #",Half,81
12722,2,,118,4,Sol,Half,80
12722,6,,118,7,Re,Whole,65
12778,2,,118,4,Sol,Half,43
12779,5,,118,5,"La #",Half,81
12837,5,,118,5,"Fa #",Half,81
12842,2,,118,4,Sol,Half,81
12860,10,,111,4,Re,Whole,75
12864,2,,111,3,Si,Whole,100
12864,3,,111,4,Si,Whole,86
12880,4,,111,5,Re,Sixteenth,54
12884,4,,111,5,Sol,Sixteenth,64
12889,4,,111,5,Si,Sixteenth,54
12896,4,,111,6,Re,Whole,64
12898,2,,118,4,Sol,Sixteenth,44
12899,5,,118,6,"Do #",Half,78
12900,2,,118,4,"Do #",Half,81
12956,10,,111,4,Re,Whole,84
12958,2,,118,4,"Do #",Sixteenth,80
12958,3,,118,4,Re,Whole,78
12960,2,,118,4,"La #",Whole,78
12961,5,,118,5,Re,Whole,69
13052,10,,111,4,Re,Whole,90
13056,3,,111,5,Sol,Whole,87
13078,3,,118,4,Re,Half,81
13081,2,,118,4,Re,Sixteenth,31
13081,5,,118,5,Re,Half,71
13082,2,,118,4,"Do #",Half,31
13083,6,,118,7,"Do #",Whole,65
13138,2,,118,4,"Do #",Sixteenth,35
13138,5,,118,5,Re,Half,68
13141,2,,118,4,Re,Half,35
13141,3,,118,4,Re,Half,80
13148,10,,111,4,Re,Whole,91
13198,2,,118,4,"Do #",Sixteenth,41
13201,3,,118,4,Re,Half,80
13202,2,,118,4,Re,Half,42
13202,5,,118,5,Re,Half,71
13203,6,,118,7,"Do #",Whole,61
13244,10,,111,4,La,Whole,83
13248,3,,111,6,Re,Whole,88
13258,2,,118,4,"Do #",Sixteenth,43
13258,5,,118,5,Re,Half,70
13261,2,,118,4,Re,Half,43
13261,3,,118,4,Re,Half,77
13319,2,,118,4,Re,Sixteenth,49
13322,2,,118,4,"Do #",Half,49
13322,3,,118,4,Re,Half,80
13322,5,,118,5,Re,Half,70
13340,10,,111,4,La,Whole,83
13378,5,,118,5,Re,Half,73
13379,2,,118,4,Re,Sixteenth,50
13379,2,,118,4,"Do #",Half,50
13382,3,,118,4,Re,Half,77
13436,10,,111,4,Sol,Whole,80
13438,2,,118,4,"Do #",Sixteenth,57
13439,5,,118,5,Re,Sixteenth,75
13440,2,,111,3,Sol,Whole,100
13440,3,,111,4,Sol,Whole,90
13440,4,,111,4,La,Sixteenth,50
13440,5,,118,5,La,Half,74
13441,2,,118,4,Re,Sixteenth,57
13442,2,,118,5,La,Half,56
13442,3,,118,4,Re,Half,78
13448,4,,111,5,Re,Eighth,50
13464,4,,111,5,Sol,Eighth,50
13480,4,,111,5,La,Whole,59
13498,3,,118,4,Re,Half,80
13498,5,,118,5,La,Sixteenth,73
13501,2,,118,4,Re,Sixteenth,59
13501,2,,118,4,"Do #",Sixteenth,59
13501,2,,118,5,La,Half,57
13502,5,,118,5,Re,Half,75
13532,10,,111,4,Sol,Whole,80
13557,5,,118,5,La,Sixteenth,75
13558,2,,118,4,"Do #",Sixteenth,63
13558,2,,118,4,Re,Sixteenth,62
13559,2,,118,5,La,Half,63
13562,3,,118,4,Re,Half,81
13563,5,,118,5,Re,Half,76
13618,2,,118,4,"Do #",Sixteenth,69
13620,5,,118,5,La,Sixteenth,75
13621,5,,118,5,Re,Half,78
13622,2,,118,5,La,Sixteenth,66
13622,2,,118,4,Re,Half,66
13622,3,,118,4,Re,Half,80
13628,10,,111,4,"Fa #",Whole,79
13632,3,,111,6,Re,Whole,88
13632,15,,111,6,Sol,Whole,94
13678,2,,118,4,"Do #",Sixteenth,69
13678,5,,118,5,La,Sixteenth,75
13679,2,,118,4,Re,Sixteenth,71
13679,3,,118,4,Re,Half,80
13680,2,,118,5,La,Half,70
13681,5,,118,5,Re,Half,76
13724,10,,111,4,"Fa #",Whole,78
13738,2,,118,5,La,Sixteenth,74
13738,2,,118,4,Re,Sixteenth,74
13738,3,,118,4,Re,Half,77
13739,5,,118,5,Re,Sixteenth,78
13740,2,,118,4,"Do #",Half,74
13740,5,,118,5,La,Half,79
13798,3,,118,4,Re,Whole,78
13799,5,,118,5,La,Sixteenth,80
13800,2,,118,5,La,Sixteenth,79
13801,2,,118,4,"Do #",Sixteenth,77
13801,2,,118,4,Re,Whole,80
13802,5,,118,5,Re,Whole,81
13820,10,,111,5,Re,Whole,91
13820,10,,111,3,Si,Whole,100
13824,2,,111,4,Re,Whole,100
13824,3,,111,5,Re,Whole,84
13824,4,,111,5,Sol,Sixteenth,47
13824,15,,111,6,La,Whole,93
13830,4,,111,5,La,Sixteenth,47
13834,4,,111,6,Re,Sixteenth,57
13842,4,,111,6,Sol,Whole,67
13918,2,,118,5,La,Sixteenth,81
13918,5,,118,5,Sol,Sixteenth,77
13920,2,,118,4,"Do #",Whole,80
13920,5,,118,6,Sol,Sixteenth,80
13921,3,,118,4,Sol,Whole,80
13922,5,,118,6,Re,Whole,77
13981,8,,118,6,Re,Half,65
13982,6,,118,6,"La #",Half,81
13982,7,,118,6,Re,Half,64
14016,3,,111,6,Re,Whole,84
14016,15,,111,6,La,Whole,92
14039,2,,118,4,Sol,Sixteenth,79
14039,6,,118,6,"La #",Half,81
14041,2,,118,4,Re,Half,81
14042,7,,118,6,Re,Half,61
14043,8,,118,6,Re,Half,65
14097,6,,118,6,"La #",Half,78
14097,8,,118,6,Re,Half,65
14099,2,,118,4,"Do #",Half,78
14099,7,,118,6,Re,Half,65
14100,5,,118,5,"La #",Sixteenth,78
14101,3,,118,4,"Re #",Whole,78
14102,5,,118,5,"Re #",Sixteenth,79
14102,5,,118,6,"Re #",Whole,80
14160,2,,118,4,Sol,Whole,79
14161,8,,118,6,Re,Half,61
14162,7,,118,6,Re,Half,62
14163,6,,118,6,"La #",Half,77
14204,10,,111,4,Re,Whole,91
14204,10,,111,4,Sol,Whole,71
14208,3,,111,5,La,Whole,84
14208,15,,111,6,La,Whole,91
14217,6,,118,6,"La #",Half,77
14217,8,,118,6,Re,Half,62
14218,7,,118,6,Re,Half,65
14277,6,,118,6,Sol,Half,80
14278,7,,118,5,"La #",Half,62
14279,2,,118,4,Sol,Sixteenth,79
14280,2,,118,4,Re,Whole,80
14283,8,,118,5,"La #",Half,63
14337,7,,118,6,"Do #",Half,61
14340,8,,118,6,"Do #",Half,64
14342,3,,118,3,La,Half,63
14342,6,,118,6,La,Half,80
14396,10,,111,4,Sol,Whole,57
14396,10,,111,3,Si,Whole,100
14397,8,,118,6,Re,Half,65
14398,5,,118,5,"Fa #",Sixteenth,79
14400,2,,118,4,"Do #",Sixteenth,78
14400,3,,111,6,Sol,Whole,84
14400,5,,118,5,"La #",Sixteenth,80
14400,7,,118,6,Re,Half,65
14401,2,,118,4,Sol,Whole,81
14401,5,,118,4,"La #",Whole,80
14402,3,,118,3,"La #",Whole,78
14403,6,,118,6,"La #",Half,81
14457,7,,118,6,Re,Half,62
