Time,Track,Instrument,Beat,Octave,Note,Frequency,Duration,"Force (%)"
13081,5,,118,5,Re,293.66,Half,71
13082,2,,118,4,Do#,138.59,Half,31
13083,6,,118,7,Do#,1108.73,Whole,65
13138,2,,118,4,Do#,138.59,Sixteenth,35
13138,5,,118,5,Re,293.66,Half,68
13141,2,,118,4,Re,146.83,Half,35
13141,3,,118,4,Re,146.83,Half,80
13198,2,,118,4,Do#,138.59,Sixteenth,41
13201,3,,118,4,Re,146.83,Half,80
13202,2,,118,4,Re,146.83,Half,42
13202,5,,118,5,Re,293.66,Half,71
13203,6,,118,7,Do#,1108.73,Whole,61
13258,2,,118,4,Do#,138.59,Sixteenth,43
13258,5,,118,5,Re,293.66,Half,70
13261,2,,118,4,Re,146.83,Half,43
13261,3,,118,4,Re,146.83,Half,77
13319,2,,118,4,Re,146.83,Sixteenth,49
13322,2,,118,4,Do#,138.59,Half,49
13322,3,,118,4,Re,146.83,Half,80
13322,5,,118,5,Re,293.66,Half,70
13378,5,,118,5,Re,293.66,Half,73
13379,2,,118,4,Re,146.83,Sixteenth,50
13379,2,,118,4,Do#,138.59,Half,50
13382,3,,118,4,Re,146.83,Half,77
13438,2,,118,4,Do#,138.59,Sixteenth,57
13439,5,,118,5,Re,293.66,Sixteenth,75
13440,5,,118,5,La,440,Half,74
13441,2,,118,4,Re,146.83,Sixteenth,57
13442,2,,118,5,La,440,Half,56
13442,3,,118,4,Re,146.83,Half,78
13498,3,,118,4,Re,146.83,Half,80
13498,5,,118,5,La,440,Sixteenth,73
13501,2,,118,4,Re,146.83,Sixteenth,59
13501,2,,118,4,Do#,138.59,Sixteenth,59
13501,2,,118,5,La,440,Half,57
13502,5,,118,5,Re,293.66,Half,75
13557,5,,118,5,La,440,Sixteenth,75
13558,2,,118,4,Do#,138.59,Sixteenth,63
13558,2,,118,4,Re,146.83,Sixteenth,62
13559,2,,118,5,La,440,Half,63
13562,3,,118,4,Re,146.83,Half,81
13563,5,,118,5,Re,293.66,Half,76
13618,2,,118,4,Do#,138.59,Sixteenth,69
13620,5,,118,5,La,440,Sixteenth,75
13621,5,,118,5,Re,293.66,Half,78
13622,2,,118,5,La,440,Sixteenth,66
13622,2,,118,4,Re,146.83,Half,66
13622,3,,118,4,Re,146.83,Half,80
13678,2,,118,4,Do#,138.59,Sixteenth,69
13678,5,,118,5,La,440,Sixteenth,75
13679,2,,118,4,Re,146.83,Sixteenth,71
13679,3,,118,4,Re,146.83,Half,80
13680,2,,118,5,La,440,Half,70
13681,5,,118,5,Re,293.66,Half,76
13738,2,,118,5,La,440,Sixteenth,74
13738,2,,118,4,Re,146.83,Sixteenth,74
13738,3,,118,4,Re,146.83,Half,77
13739,5,,118,5,Re,293.66,Sixteenth,78
13740,2,,118,4,Do#,138.59,Half,74
13740,5,,118,5,La,440,Half,79
13798,3,,118,4,Re,146.83,Whole,78
13799,5,,118,5,La,440,Sixteenth,80
13800,2,,118,5,La,440,Sixteenth,79
13801,2,,118,4,Do#,138.59,Sixteenth,77
13801,2,,118,4,Re,146.83,Whole,80
13802,5,,118,5,Re,293.66,Whole,81
13918,2,,118,5,La,440,Sixteenth,81
13918,5,,118,5,Sol,392,Sixteenth,77
13920,2,,118,4,Do#,138.59,Whole,80
13920,5,,118,6,Sol,783.99,Sixteenth,80
13921,3,,118,4,Sol,196,Whole,80
13922,5,,118,6,Re,587.33,Whole,77
13981,8,,118,6,Re,587.33,Half,65
13982,6,,118,6,La#,932.33,Half,81
13982,7,,118,6,Re,587.33,Half,64
14039,2,,118,4,Sol,196,Sixteenth,79
14039,6,,118,6,La#,932.33,Half,81
14041,2,,118,4,Re,146.83,Half,81
14042,7,,118,6,Re,587.33,Half,61
14043,8,,118,6,Re,587.33,Half,65
14097,6,,118,6,La#,932.33,Half,78
14097,8,,118,6,Re,587.33,Half,65
14099,2,,118,4,Do#,138.59,Half,78
14099,7,,118,6,Re,587.33,Half,65
14100,5,,118,5,La#,466.16,Sixteenth,78
14101,3,,118,4,Re#,155.56,Whole,78
14102,5,,118,5,Re#,311.13,Sixteenth,79
14102,5,,118,6,Re#,622.25,Whole,80
14160,2,,118,4,Sol,196,Whole,79
14161,8,,118,6,Re,587.33,Half,61
14162,7,,118,6,Re,587.33,Half,62
14163,6,,118,6,La#,932.33,Half,77
14217,6,,118,6,La#,932.33,Half,77
14217,8,,118,6,Re,587.33,Half,62
14218,7,,118,6,Re,587.33,Half,65
14277,6,,118,6,Sol,783.99,Half,80
14278,7,,118,5,La#,466.16,Half,62
14279,2,,118,4,Sol,196,Sixteenth,79
14280,2,,118,4,Re,146.83,Whole,80
14283,8,,118,5,La#,466.16,Half,63
14337,7,,118,6,Do#,554.37,Half,61
14340,8,,118,6,Do#,554.37,Half,64
14342,3,,118,3,La,110,Half,63
14342,6,,118,6,La,880,Half,80
14397,8,,118,6,Re,587.33,Half,65
14398,5,,118,5,Fa#,369.99,Sixteenth,79
14400,2,,118,4,Do#,138.59,Sixteenth,78
14400,5,,118,5,La#,466.16,Sixteenth,80
14400,7,,118,6,Re,587.33,Half,65
14401,2,,118,4,Sol,196,Whole,81
14401,5,,118,4,La#,233.08,Whole,80
14402,3,,118,3,La#,116.54,Whole,78
14403,6,,118,6,La#,932.33,Half,81
14457,7,,118,6,Re,587.33,Half,62
14459,6,,118,6,La#,932.33,Half,77
14459,8,,118,6,Re,587.33,Half,65
14517,7,,118,6,Re,587.33,Whole,63
14518,2,,118,4,Sol,196,Sixteenth,78
14518,8,,118,6,Re,587.33,Whole,65
14520,2,,118,4,Re,146.83,Half,78
14523,6,,118,6,La#,932.33,Whole,80
14579,3,,118,4,Fa#,185,Whole,81
14579,5,,118,6,Fa#,739.99,Sixteenth,81
14581,5,,118,5,Fa#,369.99,Sixteenth,78
14582,2,,118,4,Do#,138.59,Half,80
14582,5,,118,6,Do#,554.37,Whole,80
14638,6,,118,6,La,880,Whole,81
14640,8,,118,6,Do#,554.37,Whole,65
14641,2,,118,4,Sol,196,Half,80
14641,7,,118,6,Do#,554.37,Whole,63
14702,2,,118,4,Do#,138.59,Half,80
14758,2,,118,4,Sol,196,Sixteenth,80
14759,2,,118,4,Re,146.83,Half,77
14761,7,,118,6,Re,587.33,Whole,94
14761,8,,118,6,Fa#,739.99,Whole,97
14818,2,,118,4,Do#,138.59,Half,78
14822,3,,118,3,La#,116.54,Half,65
14877,5,,118,5,Sol,392,Sixteenth,80
14877,8,,118,6,Sol,783.99,Half,93
14880,2,,118,4,Do#,138.59,Sixteenth,78
14880,5,,118,5,Do#,277.18,Sixteenth,81
14882,2,,118,5,La,440,Whole,81
14882,3,,118,4,Do#,138.59,Whole,79
14882,7,,118,6,Re#,622.25,Half,93
14883,5,,118,6,Do#,554.37,Whole,79
14938,7,,118,6,Sol,783.99,Half,61
14939,8,,118,6,Sol,783.99,Half,61
14941,6,,118,7,Re#,1244.51,Half,81
14999,2,,118,4,Re,146.83,Sixteenth,81
14999,7,,118,6,Sol,783.99,Half,62
15000,8,,118,6,Sol,783.99,Half,62
15001,2,,118,4,Sol,196,Half,80
15001,6,,118,7,Re#,1244.51,Half,77
15057,5,,118,5,Sol#,415.3,Sixteenth,80
15058,3,,118,3,Sol#,103.83,Whole,79
15059,5,,118,4,Sol#,207.65,Sixteenth,78
15059,5,,118,5,Re#,311.13,Whole,80
15060,8,,118,6,Sol,783.99,Half,65
15061,2,,118,4,Do#,138.59,Half,80
15061,6,,118,7,Re#,1244.51,Half,78
15061,7,,118,6,Sol,783.99,Half,62
15118,2,,118,4,Sol,196,Whole,78
15119,6,,118,7,Re#,1244.51,Half,78
15120,8,,118,6,Sol,783.99,Half,62
15122,7,,118,6,Sol,783.99,Half,64
15177,7,,118,6,Sol,783.99,Half,61
15179,6,,118,7,Re#,1244.51,Half,80
15179,8,,118,6,Sol,783.99,Half,65
15239,6,,118,7,Do#,1108.73,Half,80
15240,2,,118,4,Sol,196,Sixteenth,81
15240,8,,118,6,Re#,622.25,Half,63
15242,2,,118,4,Re,146.83,Whole,79
15243,7,,118,6,Re#,622.25,Half,64
15299,6,,118,7,Re,1174.66,Half,79
15299,8,,118,6,Fa#,739.99,Half,65
15301,3,,118,3,La#,116.54,Half,80
15303,7,,118,6,Fa#,739.99,Half,64
15358,2,,118,4,Do#,138.59,Sixteenth,77
15358,3,,118,4,Re#,155.56,Whole,77
15358,5,,118,6,Re#,622.25,Sixteenth,77
15358,5,,118,5,La#,466.16,Sixteenth,79
15360,6,,118,7,Re#,1244.51,Whole,80
15360,7,,118,6,Sol,783.99,Whole,61
15361,8,,118,6,Sol,783.99,Whole,65
15362,2,,118,4,Sol,196,Whole,80
15363,5,,118,5,Re#,311.13,Whole,77
15479,2,,118,4,Sol,196,Sixteenth,77
15479,2,,118,4,Re,146.83,Half,78
15479,8,,118,6,Sol,783.99,Whole,63
15480,6,,118,7,Re#,1244.51,Whole,77
15481,7,,118,6,Sol,783.99,Whole,65
15538,5,,118,5,La#,466.16,Sixteenth,80
15539,5,,118,4,La#,233.08,Sixteenth,79
15540,3,,118,3,La#,116.54,Whole,77
15541,2,,118,4,Do#,138.59,Half,79
15541,5,,118,5,Fa#,369.99,Whole,79
15597,8,,118,6,Fa#,739.99,Whole,64
15600,2,,118,4,Sol,196,Half,80
15601,7,,118,6,Fa#,739.99,Half,64
15602,6,,118,7,Re,1174.66,Half,77
15659,2,,118,4,Do#,138.59,Half,80
15682,8,,118,6,Re#,622.25,Half,63
15683,6,,118,7,Do#,1108.73,Half,79
15683,7,,118,6,Re#,622.25,Half,64
15721,2,,118,4,Sol,196,Sixteenth,79
15721,2,,118,4,Re,146.83,Half,77
15760,6,,118,6,La#,932.33,Half,79
