Time,Track,Instrument,Beat,Octave,Note,Duration,"Force (%)"
50190,3,"INTRO LEAD",69,6,Mi,Whole,100
50190,2,BASSLINE,116,5,"Do #",Quarter,79
50190,2,BASSLINE,116,5,"La #",Quarter,79
50190,2,BASSLINE,116,6,"Re #",Quarter,79
50190,3,"INTRO LEAD",116,4,"La #",Quarter,79
50190,4,"BACKGROUND SYNTH",116,4,"La #",Quarter,79
50190,5,,116,7,"Re #",Quarter,79
50208,3,"INTRO LEAD",84,6,Do,Whole,71
50208,7,,84,6,Do,Whole,71
50218,5,,118,5,"Fa #",Sixteenth,69
50219,3,,118,3,"La #",Half,76
50220,2,BASSLINE,116,5,"Do #",Quarter,79
50220,2,BASSLINE,116,5,"La #",Quarter,79
50220,2,BASSLINE,116,6,"Re #",Quarter,79
50220,3,"INTRO LEAD",116,4,"Fa #",Half,79
50220,4,"BACKGROUND SYNTH",116,4,"Fa #",Half,79
50220,5,,116,7,"Re #",Quarter,79
50220,7,,116,4,Do,Quarter,79
50220,7,,116,5,Re,Eighth,79
50221,2,,118,4,"Sol #",Sixteenth,71
50221,2,,118,4,"Do #",Sixteenth,79
50222,2,,118,4,Re,Half,74
50223,5,,118,4,"La #",Half,76
50250,3,"INTRO LEAD",69,5,Sol,Whole,100
50250,2,BASSLINE,116,5,"Do #",Quarter,79
50250,2,BASSLINE,116,5,"La #",Quarter,79
50250,2,BASSLINE,116,6,"Re #",Quarter,79
50250,5,,116,7,"Re #",Quarter,79
50256,2,BASSLINE,84,6,Si,Whole,71
50278,2,,118,4,Re,Sixteenth,77
50279,5,,118,5,"Fa #",Sixteenth,76
50280,2,BASSLINE,112,6,"Do #",Whole,100
50280,2,BASSLINE,112,5,Fa,Whole,100
50280,2,BASSLINE,112,4,"Do #",Whole,100
50280,2,BASSLINE,112,5,"Sol #",Whole,100
50280,3,"INTRO LEAD",112,4,"Do #",Whole,100
50280,4,"BACKGROUND SYNTH",112,7,"Do #",Whole,100
50280,4,"BACKGROUND SYNTH",112,6,Fa,Whole,100
50280,4,"BACKGROUND SYNTH",112,6,"Sol #",Whole,100
50280,6,,112,4,"Do #",Eighth,100
50280,2,BASSLINE,116,5,"Do #",Quarter,79
50280,2,BASSLINE,116,5,"La #",Quarter,79
50280,2,BASSLINE,116,6,"Re #",Quarter,79
50280,10,,112,6,La,Sixteenth,100
50280,13,,112,4,"Fa #",Sixteenth,100
